hospital_name,hospital_number,hospital_addr
24시다나을동물병원 미사점,031-8027-0975,"경기 하남시 미사강변동로 100-1 2층
(지번) 망월동 1125"
24시큰사랑동물병원,031-8011-3690,"경기 이천시 중리천로 135 미래캐슬 2동 1층
(지번) 중리동 468-24"
굿모닝24시동물병원,041-576-7552,"충남 천안시 서북구 쌍용대로 43
(지번) 쌍용1동 1177"
청주24시 동물병원,043-267-4119,"충북 청주시 서원구 사직대로 256
(지번) 사직동 597-35"
24시동물병원,,"충북 제천시 의림대로 155-2
(지번) 의림동 8-10"
24시청주아이동물병원,043-214-9975,"충북 청주시 청원구 충청대로 103
(지번) 율량동 1070"
마크로24시동물병원,042-486-3375,"대전 서구 한밭대로570번길 8
(지번) 월평동 429"
대전24시 센트럴동물병원,042-719-7779,"대전 중구 계룡로 789 1층
(지번) 용두동 119-6"
군산24시제일동물병원,063-461-5079,"전북 군산시 진포로 73
(지번) 미장동 495-6"
24시포인트동물의료센터,032-882-8275,"인천 미추홀구 낙섬중로 78
(지번) 용현동 577-42"
24시퍼스트동물의료센터,032-435-6333,"인천 미추홀구 경원대로 890 1층 101호
(지번) 주안동 929-16"
24시보듬동물병원,033-655-7975,"강원특별자치도 강릉시 경강로 2070
(지번) 임당동 134-6"
24시블루밍동물병원,062-416-7975,"광주 북구 대자로 36 MVG빌딩 3층 304~306호
(지번) 운암동 439-1"
인천24시스카이동물메디컬센터,032-715-7959,"인천 남동구 남동대로799번길 8 구월지웰시티푸르지오 오피스텔 C동 3층 301호
(지번) 구월동 1608"
24시프라임동물병원,053-631-9966,"대구 달서구 비슬로 2746
(지번) 대곡동 964"
대구24시동물병원,053-352-8277,"대구 북구 침산남로 61
(지번) 노원동1가 1-8"
24시언제나동물병원,062-571-0011,"광주 북구 하백로 5
(지번) 매곡동 370-6"
이스턴24시동물병원,053-964-0750,"대구 동구 반야월로 140
(지번) 신기동 179-5"
24시송도오케이동물의료센터,032-832-7975,"인천 연수구 랜드마크로 68 랜드마크시티센트럴더샵 203동 2층 261~265호
(지번) 송도동 311-1"
24시송도힐동물메디컬센터,032-834-7275,"인천 연수구 컨벤시아대로 55 송도이안상가 106~108호
(지번) 송도동 2-3"
24시팔용필동물병원,055-255-1275,"경남 창원시 의창구 평산로 102 1층
(지번) 팔용동 42-36"
24시중리행복한동물병원,055-231-7555,"경남 창원시 마산회원구 내서읍 호원로 191
(지번) 내서읍 중리 385-3"
24시동물병원,064-702-2475,"제주특별자치도 제주시 연삼로 353
(지번) 도남동 81-7"
닥터강 동물병원,052-246-3123,"울산 중구 화진길 13-2 1층
(지번) 태화동 37-7"
24시송도온동물의료센터,,"인천 연수구 인천타워대로180번길 11 더샵송도센트럴파크3차 상가 B동 2층 213호
(지번) 송도동 92"
24시부평종합동물의료센터,032-511-6836,"인천 부평구 부평대로 138 신일유스테이션 2층
(지번) 부평동 431-12"
24시 스마트 동물의료센터,031-432-1224,"경기 시흥시 배곧3로 86 센터프라자2 2층 207,208호
(지번) 배곧동 194-2"
24시쪼꼬동물메디컬센터,032-565-2943,"인천 서구 청중로478번안길 4 2층
(지번) 가정동 606-2"
청라공감동물병원,032-563-0094,"인천 서구 중봉대로586번길 22 청라 풍림엑슬루타워 B동 128~131호
(지번) 청라동 164-1"
