hospital_name,hospital_number,hospital_addr,latitude,longitude
24시마음든든동물병원,031-474-2475,"경기 안양시 만안구 경수대로 1234 3층
(지번) 석수동 168-27",37.41843093,126.9119068
24시 모두의동물병원,02-6951-2475,"경기 광명시 하안로 289 태홍빌딩 A동 2층
(지번) 하안동 51",37.4616896,126.8801893
24시 글로리 동물병원,02-855-8575,"서울 금천구 시흥대로 483
(지번) 독산동 145-13",37.47674386,126.8982562
24시 동물병원,031-281-7585,"경기 용인시 기흥구 구갈로 53
(지번) 구갈동 391-5",37.27910195,127.1110183
가나24시동물병원,031-402-4060,"경기 안산시 단원구 중앙대로 899 안산롯데프라자 1,2층
(지번) 고잔동 537-4",37.31729273,126.8363986
24시숨동물병원,031-548-2475,"경기 수원시 권선구 권선로 715
(지번) 권선동 1022-7",37.25872973,127.0296331
24시분당리더스동물병원,031-711-8275,"경기 성남시 분당구 성남대로 45 2층
(지번) 구미동 157",37.34005352,127.1083975
와이즈24시동물병원,02-3446-8253,"서울 강남구 학동로6길 7
(지번) 논현동 123-5",37.51125805,127.0238849
24시독스동물병원,032-433-0075,"인천 남동구 남동대로 912 유진빌딩 1층
(지번) 간석동 210-2",37.46377552,126.7084652
청담아이윌24시동물병원,02-6925-7021,"서울 강남구 삼성로133길 3 지하1층
(지번) 청담동 47",37.51964549,127.0492067
24시센트럴동물메디컬센터,02-3395-7975,"서울 성동구 고산자로 207
(지번) 행당동 318-36",37.5586754,127.0337365
24시밀리언동물병원,02-2061-5277,"서울 양천구 신월로 320 1층
(지번) 신정동 1028-4",37.52133304,126.8564512
24시산들산들동물병원,02-393-3588,"서울 마포구 마포대로16길 7
(지번) 아현동 424-14",37.55097463,126.9564972
24시 애니 동물병원,02-926-8275,"서울 성북구 보문로 99 1층
(지번) 보문동5가 3-1",37.58399292,127.019824
24시마곡M동물의료센터,02-2662-7515,"서울 강서구 방화대로33길 3 성은빌딩 1, 2층
(지번) 방화동 246-64",37.56858681,126.8162834
24시예스동물병원,02-534-3475,"서울 서초구 잠원로 24
(지번) 반포1동 20-45",37.5071157,127.0098732
24시유앤미동물병원,032-433-0755,"인천 남동구 남동대로 910
(지번) 간석동 210-9",37.46356962,126.7084575
24시 서울YES동물병원,031-272-1313,"경기 용인시 수지구 현암로 81 벤포스타1 1층
(지번) 죽전동 1174-1",37.33174883,127.1183473
24시 폴동물병원,031-717-7558,"경기 성남시 분당구 성남대로 385 분당클리닉빌딩 102호
(지번) 정자동 15-2",37.37056133,127.1075118
닥터윤 24시동물병원,02-359-2020,"서울 은평구 통일로 817
(지번) 대조동 187-24",37.61656257,126.9231961
도그앤캣 24시동물병원,031-402-4900,"경기 안산시 단원구 고잔2길 16
(지번) 고잔동 531-2",37.31763327,126.8328825
